workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,bit_errors,success,decode_failure,selected_source,selection_reason,standard_crc_valid,rescue_executed,rescue_is_gradient,rescue_crc_valid,gradient_checkpoints,selected_iteration,optimized_variables,partial_fft_parts,partial_fft_bands
blue4:lane1:snr0.0:seed4:frame1,0.0,1,cwz_joint,awgn,0.0,47.0,1,0.0,1.31584,1.2787712,761,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame2,0.0,2,cwz_joint,awgn,0.0,47.0,73,1.47456,2.7904,1.2787712,742,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame3,0.0,3,cwz_joint,awgn,0.0,47.0,145,2.94912,4.26496,1.2787712,728,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame4,0.0,4,cwz_joint,awgn,0.0,47.0,217,4.42368,5.73952,1.2787712,751,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame5,0.0,5,cwz_joint,awgn,0.0,47.0,289,5.89824,7.21408,1.2787712,763,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame6,0.0,6,cwz_joint,awgn,0.0,47.0,361,7.3728,8.68864,1.2787712,750,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame7,0.0,7,cwz_joint,awgn,0.0,47.0,432,8.82688,10.142719999999999,1.2787712,737,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame8,0.0,8,cwz_joint,awgn,0.0,47.0,504,10.30144,11.61728,1.2787712,735,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame9,0.0,9,cwz_joint,awgn,0.0,47.0,576,11.776,13.09184,1.2787712,732,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame10,0.0,10,cwz_joint,awgn,0.0,47.0,648,13.25056,14.5664,1.2787712,729,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame11,0.0,11,cwz_joint,awgn,0.0,47.0,720,14.72512,16.040960000000002,1.2787712,761,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame12,0.0,12,cwz_joint,awgn,0.0,47.0,792,16.19968,17.515520000000002,1.2787712,751,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame13,0.0,13,cwz_joint,awgn,0.0,47.0,864,17.67424,18.990080000000003,1.2787712,739,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame14,0.0,14,cwz_joint,awgn,0.0,47.0,936,19.1488,20.464640000000003,1.2787712,741,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame15,0.0,15,cwz_joint,awgn,0.0,47.0,1008,20.62336,21.939200000000003,1.2787712,746,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame16,0.0,16,cwz_joint,awgn,0.0,47.0,1080,22.09792,23.41376,1.2787712,724,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame17,0.0,17,cwz_joint,awgn,0.0,47.0,1151,23.552,24.86784,1.2787712,739,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame18,0.0,18,cwz_joint,awgn,0.0,47.0,1223,25.02656,26.3424,1.2787712,732,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame19,0.0,19,cwz_joint,awgn,0.0,47.0,1295,26.50112,27.81696,1.2787712,732,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame20,0.0,20,cwz_joint,awgn,0.0,47.0,1367,27.97568,29.291520000000002,1.2787712,767,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame21,0.0,21,cwz_joint,awgn,0.0,47.0,1439,29.45024,30.766080000000002,1.2787712,744,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame22,0.0,22,cwz_joint,awgn,0.0,47.0,1511,30.9248,32.24064,1.2787712,733,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame23,0.0,23,cwz_joint,awgn,0.0,47.0,1583,32.39936,33.7152,1.2787712,723,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame24,0.0,24,cwz_joint,awgn,0.0,47.0,1655,33.87392,35.18976,1.2787712,739,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame25,0.0,25,cwz_joint,awgn,0.0,47.0,1727,35.34848,36.664320000000004,1.2787712,748,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame26,0.0,26,cwz_joint,awgn,0.0,47.0,1799,36.82304,38.13888,1.2787712,763,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame27,0.0,27,cwz_joint,awgn,0.0,47.0,1870,38.27712,39.59296,1.2787712,742,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame28,0.0,28,cwz_joint,awgn,0.0,47.0,1942,39.75168,41.06752,1.2787712,722,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame29,0.0,29,cwz_joint,awgn,0.0,47.0,2014,41.22624,42.54208,1.2787712,730,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame30,0.0,30,cwz_joint,awgn,0.0,47.0,2086,42.7008,44.01664,1.2787712,723,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame31,0.0,31,cwz_joint,awgn,0.0,47.0,2158,44.17536,45.4912,1.2787712,721,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame32,0.0,32,cwz_joint,awgn,0.0,47.0,2230,45.64992,46.96576,1.2787712,735,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
blue4:lane1:snr0.0:seed4:frame1,0.0,1,profiled_cz,awgn,0.0,47.0,1,0.0,1.31584,1.2787712,761,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr0.0:seed4:frame2,0.0,2,profiled_cz,awgn,0.0,47.0,73,1.47456,2.7904,1.2787712,742,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr0.0:seed4:frame3,0.0,3,profiled_cz,awgn,0.0,47.0,145,2.94912,4.26496,1.2787712,728,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr0.0:seed4:frame4,0.0,4,profiled_cz,awgn,0.0,47.0,217,4.42368,5.73952,1.2787712,751,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr0.0:seed4:frame5,0.0,5,profiled_cz,awgn,0.0,47.0,289,5.89824,7.21408,1.2787712,763,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
